date,employee_title,location,employee_status,review_title,years_at_company,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wed Apr 17 2019 20:30:55 GMT+0530 (India Standard Time), Platform Experience Senior Analyst,Hyderābād,Current Employee ,Employee Work Culture,,5,3,5,1,4,3
Thu Apr 18 2019 02:49:19 GMT+0530 (India Standard Time), Associate Software Engineer Developer,Bangalore,Former Employee ,Associate Software Engineer,,5,5,5,5,5,5
Thu Apr 18 2019 07:19:21 GMT+0530 (India Standard Time), Senior Engineer,New Delhi,Current Employee ,It should be a good,,5,5,5,5,5,5
Wed Apr 17 2019 11:16:19 GMT+0530 (India Standard Time), Developer/Applications Support Analyst,Hyderābād,Current Employee ,Application Development Analyst,,4,4,5,4,4,3
Thu Apr 18 2019 04:53:27 GMT+0530 (India Standard Time), Procurement,Bangalore,Former Employee ,It has good working environment,,4,4,5,4,5,4
Thu Apr 18 2019 09:10:29 GMT+0530 (India Standard Time), Team Lead,Hyderābād,Current Employee ,Average company,,4,1,3,3,4,1
Thu Apr 18 2019 09:21:37 GMT+0530 (India Standard Time), Senior Developer,"Gurgaon, Haryana",Former Employee ,Nice company to work for,,4,5,5,5,3,5
Thu May 02 2019 00:50:18 GMT+0530 (India Standard Time), Team Leader,Bangalore,Current Employee ,Anything is Possible@Accenture,,3,4,3,3,3,2
Thu May 02 2019 00:50:40 GMT+0530 (India Standard Time), Software Test Engineer,Mumbai,Current Employee ,software test enginner,,3,4,3,2,3,2
Thu May 02 2019 03:28:52 GMT+0530 (India Standard Time), Functional Analyst,Chennai,Former Employee ,functional consultant,,3,,,,,
Tue Apr 16 2019 21:02:09 GMT+0530 (India Standard Time),,Mumbai,Current Employee ,Application development lead,,5,5,5,5,5,5
Thu May 02 2019 04:08:13 GMT+0530 (India Standard Time), Digital Marketing,Hyderābād,Former Employee ,Digital marketing,,2,2,1,3,3,1
Thu May 02 2019 06:37:46 GMT+0530 (India Standard Time), Data Analyst,Bangalore,Current Employee ,Employee friendly in some aspects....Unfriendly in many others,,2,4,4,3,1,1
Thu May 02 2019 09:54:20 GMT+0530 (India Standard Time), ASE,Mumbai,Former Employee ,Depends on the team you're a part of,,2,4,2,4,4,2
Thu May 02 2019 06:37:46 GMT+0530 (India Standard Time), Data Analyst,Bangalore,Current Employee ,Employee friendly in some aspects....Unfriendly in many others,,2,4,4,3,1,1
Thu May 02 2019 09:54:20 GMT+0530 (India Standard Time), ASE,Mumbai,Former Employee ,Depends on the team you're a part of,,2,4,2,4,4,2
Wed May 22 2019 05:19:11 GMT+0530 (India Standard Time), Senior Analyst,"Gurgaon, Haryana",Former Employee ,Senior Cloud Analyst,,1,1,4,3,2,2
Tue Apr 16 2019 20:01:52 GMT+0530 (India Standard Time), Associate Manager,Bangalore,Current Employee ,Great place to work,,4,4,5,5,4,4
Tue Apr 16 2019 21:38:29 GMT+0530 (India Standard Time),,Pune,Current Employee ,Senior Software Developer,,4,4,4,4,4,3
Wed Apr 17 2019 02:03:44 GMT+0530 (India Standard Time), Data Analyst,Bangalore,Current Employee ,Great place to work at!!,,4,5,4,4,3,4
Wed Apr 17 2019 09:05:59 GMT+0530 (India Standard Time), Test Automation Engineer,"Gurgaon, Haryana",Current Employee ,Good Company to Work,,4,4,4,4,3,4
Wed Apr 17 2019 10:01:17 GMT+0530 (India Standard Time), Applicatiion Developer,Bangalore,Current Employee ,Accenture employee,,4,4,4,3,4,3
Tue Apr 30 2019 15:55:17 GMT+0530 (India Standard Time), Applications Developer Analyst,Bangalore,Former Employee ,Good for entry level,,3,3,4,3,3,3
Wed May 01 2019 00:42:03 GMT+0530 (India Standard Time), Software Engineer,Bangalore,Former Employee ,Accenture,,3,4,2,1,2,3
Tue Apr 16 2019 04:35:04 GMT+0530 (India Standard Time), AM Cloud Arch,Bangalore,Former Employee ,Everything is very good..,,5,5,5,5,5,5
Tue Apr 16 2019 08:05:28 GMT+0530 (India Standard Time), Software Engineer,Mumbai,Former Employee ,nice work environment and good learning experience,,5,3,3,4,4,3
Mon Apr 15 2019 15:30:15 GMT+0530 (India Standard Time), Applications Development Analyst,Bangalore,Former Employee ,Work Culture,,4,4,4,4,4,4
Mon Apr 15 2019 18:34:24 GMT+0530 (India Standard Time),,Bangalore,Former Employee ,Team Lead,,4,4,4,4,3,4
Mon Apr 15 2019 21:00:44 GMT+0530 (India Standard Time), Applications Development Analyst,Mumbai,Former Employee ,DIverse work profiles,,4,3,4,4,3,3
Tue Apr 16 2019 07:25:14 GMT+0530 (India Standard Time), Software Development Senior Analyst,Pune,Current Employee ,Recommended,,4,4,4,3,3,4
Tue Apr 30 2019 01:28:20 GMT+0530 (India Standard Time), Senior Software Analyst,Bangalore,Current Employee ,Good Work Life Balance,,3,4,4,3,4,3
Tue Apr 30 2019 03:22:08 GMT+0530 (India Standard Time), Associate Software Engineer,Hyderābād,Former Employee ,I do not reconmend,,3,,,,,
Tue Apr 30 2019 05:11:53 GMT+0530 (India Standard Time), ASE,Bangalore,Current Employee ,ASE,,3,3,4,3,2,3
Tue Apr 30 2019 08:43:50 GMT+0530 (India Standard Time), Business Operations Associate,Hyderābād,Current Employee ,Business Operations Associate,,3,1,5,5,2,2
