date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wed Nov 29 2017 02:45:53 GMT+0530 (India Standard Time),,,Current Employee ,McK review,,0,,,,3.0,,,,,
Thu Nov 23 2017 15:30:11 GMT+0530 (India Standard Time),,,Current Employee ,Business Presentation Designer,,0,,,,4.0,4.0,5.0,5.0,4.0,1.0
Fri Nov 10 2017 05:31:40 GMT+0530 (India Standard Time),,,Current Employee ,Excellent organisation for learning,,0,,,,5.0,,,,,
Wed Nov 22 2017 02:27:06 GMT+0530 (India Standard Time), Junior Associate,Bangalore,Current Employee ,True to their promise to put employees first,,0,,,,4.0,,,,,
Thu Nov 16 2017 04:36:26 GMT+0530 (India Standard Time), Service Desk Specialist,Chennai,Current Employee ,Service Desk Specialist,,0,,,,3.0,3.0,3.0,3.0,3.0,3.0
Sun Nov 05 2017 00:14:30 GMT+0530 (India Standard Time),,,Current Employee ,Good,,0,,,,4.0,,,,,
Tue Oct 24 2017 07:40:49 GMT+0530 (India Standard Time), Software Developer,"Gurgaon, Haryana",Current Employee ,N/a,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Nov 15 2017 22:39:36 GMT+0530 (India Standard Time),,,Current Employee ,No work life balance,,0,,,,1.0,1.0,3.0,3.0,2.0,1.0
Tue Oct 10 2017 03:03:18 GMT+0530 (India Standard Time), Engagement Manager,New Delhi,Former Employee ,Good,,0,,,,3.0,2.0,4.0,5.0,3.0,4.0
Fri Sep 22 2017 07:47:19 GMT+0530 (India Standard Time), Digital Analyst,New Delhi,Former Employee ,Senior Digital Analyst,,0,,,,5.0,5.0,5.0,5.0,5.0,4.0
Fri Sep 08 2017 13:00:40 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Current Employee ,About McKinsey,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Sep 25 2017 09:31:26 GMT+0530 (India Standard Time), Business Presentation Designer,Chennai,Former Employee ,Business Presentation Designer,,0,,,,3.0,4.0,4.0,2.0,4.0,1.0
Fri Sep 08 2017 14:09:10 GMT+0530 (India Standard Time), Engagement Manager,New Delhi,Current Employee ,Engagement Manager,,0,,,,5.0,,,,,
Wed Sep 20 2017 23:17:54 GMT+0530 (India Standard Time),,,Current Employee ,job,,0,,,,4.0,,,,,
Sat Aug 26 2017 07:12:22 GMT+0530 (India Standard Time),,,Current Employee ,Nice place to work,,0,,,,5.0,,,,,
Fri Aug 18 2017 06:52:39 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Current Employee ,A perfect company for career oriented,,0,,,,5.0,4.0,5.0,5.0,5.0,4.0
Wed Aug 30 2017 04:39:28 GMT+0530 (India Standard Time),,,Current Employee ,Senior Recruiter,,0,,,,4.0,4.0,5.0,3.0,2.0,4.0
Mon Aug 14 2017 07:05:14 GMT+0530 (India Standard Time),,,Current Employee ,McKinsey,,0,,,,5.0,2.0,5.0,5.0,4.0,4.0
Mon Aug 28 2017 04:25:45 GMT+0530 (India Standard Time), Business Analyst,Chennai,Current Employee ,good company to wokk as fulltime,,0,,,,4.0,3.0,4.0,3.0,4.0,4.0
Sun Aug 27 2017 00:20:27 GMT+0530 (India Standard Time),,,Current Employee ,It's good working in McKinsey,,0,,,,4.0,4.0,4.0,3.0,4.0,4.0
Tue Aug 08 2017 23:21:14 GMT+0530 (India Standard Time),,,Current Employee ,Professional Development Coordinator,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Aug 23 2017 02:55:14 GMT+0530 (India Standard Time),,,Current Employee ,Good Company - Plenty of things one learns,,0,,,,4.0,,,,,
Fri Aug 18 2017 05:09:46 GMT+0530 (India Standard Time), Business Presentation Designer,Chennai,Current Employee ,Business Presentation designer,,0,,,,4.0,3.0,5.0,4.0,3.0,4.0
Fri Aug 18 2017 11:20:48 GMT+0530 (India Standard Time),,,Former Employee ,a,,0,,,,4.0,4.0,4.0,4.0,4.0,4.0
Thu Aug 03 2017 22:53:07 GMT+0530 (India Standard Time), Senior Presentation Designer,Thiruvananthapuram,Former Employee ,Great ;-) !!,,0,,,,5.0,4.0,5.0,3.0,3.0,4.0
Fri Aug 04 2017 02:14:57 GMT+0530 (India Standard Time),,"Gurgaon, Haryana",Current Employee ,System Engineer,,0,,,,5.0,5.0,5.0,5.0,4.0,4.0
Mon Jul 24 2017 07:14:02 GMT+0530 (India Standard Time), Analyst,"Gurgaon, Haryana",Current Employee ,Great Firm,,0,,,,5.0,5.0,5.0,4.0,4.0,4.0
Sun Jul 23 2017 03:20:04 GMT+0530 (India Standard Time),,,Current Employee ,A home away from home,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Jun 27 2017 04:10:46 GMT+0530 (India Standard Time), Graphic Designer,Bangalore,Former Employee ,Wonderful place to work.,,0,,,,5.0,4.0,5.0,5.0,5.0,4.0
Mon Jul 10 2017 10:36:36 GMT+0530 (India Standard Time),,,Former Employee ,Average,,0,,,,3.0,5.0,5.0,3.0,5.0,5.0
